1,1136,75
1240,1089,25
1155,44,9
1020,38,5
1217,315,8
228,560,6
882,700,25
115,525,5
27,1047,25
936,829,25
892,1401,25
1460,110,66
476,1470,9
476,379,25
891,803,62
366,1196,50
661,597,9
146,318,25
153,695,25
855,28,9
416,544,66
1525,54,5
389,656,25
256,757,25
106,641,25
1149,1314,68
363,172,5
133,521,25
211,556,25
783,65,5
105,870,75
735,365,9
817,1395,16
762,1311,8
792,265,5
317,1128,25
152,406,5
245,1018,8
229,592,25
80,254,25
1455,243,1
468,774,25
836,1227,5
578,607,25
867,1136,75
802,1210,9
636,1552,12
28,1352,25
1040,437,25
1324,72,53
508,538,25
326,27,5
235,392,12
934,942,25
947,384,25
1547,155,5
171,765,25
1309,845,5
1049,885,25
1393,1478,9
80,1171,25
177,988,9
26,229,9
1088,961,9
1210,1304,9
1361,1009,34
43,208,5
195,81,8
1555,1372,5
177,970,34
1048,1128,25
1344,1555,9
390,286,78
1535,1025,12
958,753,63
179,898,75
307,1312,5
1146,147,6
1190,81,5
612,1536,5
69,122,5
1256,696,0
872,989,8
683,1536,5
168,695,25
312,691,45
467,54,25
762,172,8
624,1009,50
1153,1458,8
1433,472,9
853,878,8
923,1479,12
571,894,66
338,961,9
708,952,66
333,241,5
304,536,66
240,168,12
695,1240,25
60,827,9
506,44,5
1023,1065,16
757,54,5
1372,1534,8
219,1348,66
1285,1466,8
437,1047,53
869,265,5
736,1442,25
680,913,12
804,1396,16
1502,412,5
461,203,66
971,883,75
543,560,8
946,426,8
1344,1227,9
796,1385,9
1335,1257,3
528,1371,25
476,148,25
803,1108,8
655,586,12
991,171,12
245,806,25
1188,914,6
199,1176,25
1064,1302,5
1302,1416,9
502,979,25
611,137,5
60,5,5
892,1085,25
933,429,25
435,324,8
329,1127,25
1198,355,8
421,27,5
169,397,5
934,355,8
542,922,51
827,27,5
502,1445,78
609,674,66
1019,203,34
1030,881,5
384,1254,9
1308,65,9
1021,952,9
230,694,25
1555,346,5
1324,1345,25
1091,885,25
566,1366,66
1377,493,5
106,1039,9
26,69,5
90,315,25
147,1479,66
1146,821,5
783,106,25
244,1139,25
1323,989,8
476,929,25
1309,776,6
365,60,5
424,227,25
1235,609,6
947,1055,40
911,1102,9
391,1304,9
609,989,6
462,216,25
245,938,25
260,86,9
1220,1318,9
114,731,25
974,395,66
60,990,65
903,507,72
879,301,75
1375,450,61
490,480,34
1081,307,25
1329,1276,51
1131,147,6
1131,1352,25
643,150,78
1018,1486,0
883,296,25
1312,309,25
862,298,25
1474,1298,39
1464,1164,5
289,303,63
506,51,5
89,72,25
1162,122,5
962,1174,39
171,1304,9
1045,286,25
1038,406,5
203,211,25
1536,24,5
1105,891,14
437,286,25
649,1393,9
1311,832,9
394,1106,14
1504,821,5
213,1394,44
575,400,25
700,432,8
686,668,14
680,656,25
580,432,8
130,659,25
437,603,53
1171,776,6
1283,51,5
585,708,46
266,717,5
190,961,9
298,508,53
523,740,25
864,754,12
1412,989,8
792,1253,25
38,52,25
1131,493,9
367,1242,25
179,1352,41
284,1047,53
946,1539,25
406,191,5
1266,1137,5
765,284,9
1160,122,5
1219,202,9
512,1440,25
923,499,12
117,881,5
895,762,11
1462,873,25
70,873,66
38,512,75
631,883,31
514,46,5
469,923,5
1126,703,66
754,244,53
711,819,5
298,792,53
1145,86,5
1026,299,71
1534,923,9
1171,455,9
1268,893,25
1149,778,25
1183,389,25
802,5,9
161,797,25
232,700,53
365,38,5
1063,717,5
106,272,9
366,1250,66
440,369,25
574,1491,14
369,137,5
760,910,25
1205,27,5
571,791,25
869,221,25
469,1440,25
568,704,25
960,832,25
1128,1492,25
885,1293,66
38,813,25
1324,654,53
938,915,25
885,326,66
511,1240,25
1324,190,12
769,1136,75
219,597,9
502,1372,75
1366,1470,9
758,294,12
518,1536,5
961,631,75
636,553,25
1136,796,8
472,1223,75
1393,933,9
469,1416,9
284,592,53
296,763,53
667,1240,25
400,230,25
508,1253,25
526,241,75
475,641,25
410,801,5
1314,1072,5
502,889,25
1555,1080,8
1224,1514,12
883,1237,31
1305,1005,25
43,980,36
229,431,25
1009,826,36
512,116,5
179,94,6
568,444,5
955,1148,66
366,35,25
1442,181,25
1094,94,8
709,1088,25
155,169,50
444,988,5
1329,988,5
898,1237,5
1124,412,8
91,1096,25
515,574,25
287,84,25
440,762,5
441,708,25
544,940,25
955,410,25
708,1093,25
966,597,9
597,621,75
776,329,9
961,1418,5
202,508,25
162,1102,9
339,428,9
1163,961,9
526,696,5
877,437,66
963,914,6
1213,1536,5
654,1223,49
1039,1461,5
467,880,25
1041,294,5
1225,812,9
404,696,5
534,914,8
1523,1312,5
694,65,5
731,301,34
1189,510,5
691,1444,5
665,764,5
353,717,75
404,989,6
1502,798,5
369,1321,8
895,1102,9
855,432,8
894,977,25
1220,366,9
763,175,25
159,44,5
526,317,25
753,256,12
1427,1227,9
745,914,6
462,976,25
67,146,12
42,1470,9
60,1164,5
136,609,25
301,877,73
821,107,45
650,961,9
913,133,25
694,896,75
1507,961,9
940,1217,5
393,952,75
464,947,25
1153,122,5
1445,1046,66
947,1046,25
1091,1398,25
1004,171,25
502,1479,9
381,884,66
324,469,25
567,670,53
1137,1392,5
167,1470,9
148,379,25
127,1152,80
889,657,5
283,564,14
1207,1047,25
1288,172,9
1445,845,63
703,397,5
284,432,8
1205,914,6
431,914,6
691,1102,9
72,892,25
1465,921,25
1192,1304,9
755,1072,9
686,1271,25
1413,961,0
911,1377,9
232,84,25
874,28,5
1444,869,6
518,1416,9
229,1019,12
294,417,25
120,1312,5
216,557,16
476,1416,9
284,133,53
216,730,16
757,5,5
441,125,66
393,226,9
1475,691,33
36,970,25
269,597,9
365,1164,5
1526,1227,5
668,1003,76
904,1444,5
688,881,5
1089,921,25
367,1046,25
194,409,25
232,338,25
1162,1227,5
717,444,51
1149,1526,25
120,1377,9
1207,502,25
312,1407,25
1266,713,53
204,916,66
1093,750,25
521,538,25
1094,193,68
517,553,25
1314,65,5
105,144,75
1174,1003,44
1174,166,44
372,754,12
946,521,25
572,690,47
573,1052,25
804,528,16
1198,877,66
29,884,66
572,536,66
352,201,53
1079,203,66
946,133,66
1159,60,5
668,1466,8
566,674,66
861,752,5
796,401,66
687,1428,0
235,1027,12
977,1404,25
1244,523,25
256,294,12
1366,941,5
472,1024,25
1283,346,5
110,1141,25
1090,1444,5
731,1022,60
1220,941,9
842,1,12
1438,1017,25
679,691,45
577,652,25
651,1371,25
605,177,25
1131,1023,51
909,1479,8
1255,1185,63
1030,1049,25
896,65,9
328,936,25
633,147,6
53,444,5
1445,1213,66
770,1207,25
1062,776,6
5,117,9
780,294,5
203,81,5
1090,1389,25
573,352,25
891,1302,5
683,751,20
920,913,63
1183,1085,25
1474,524,39
485,749,9
89,869,25
287,477,25
555,387,25
1524,122,5
1328,144,75
1455,796,0
1302,1304,9
366,1392,5
103,880,25
1038,968,5
282,1550,9
638,597,9
734,1127,25
1023,717,5
806,1401,25
464,966,9
706,1260,25
646,1363,25
696,262,8
284,341,53
271,1129,25
1206,27,5
780,1393,45
469,548,71
1441,526,66
1224,444,9
551,441,25
1128,1054,40
1149,497,25
1344,423,9
1137,43,5
116,269,6
1552,920,71
700,991,25
738,1405,12
1202,1084,84
119,970,31
387,798,9
369,717,5
390,728,61
379,867,25
561,780,25
1150,1174,12
437,1042,9
813,651,25
1224,1190,9
956,1098,5
1031,1416,9
46,1391,9
568,1062,25
1223,1312,75
169,601,63
312,5,20
428,81,6
1315,883,75
1119,1136,5
755,1005,66
938,882,25
365,155,5
243,296,34
1285,507,76
987,1433,5
1389,914,8
397,525,5
555,466,71
211,574,25
204,516,75
284,399,80
777,517,12
560,255,66
983,493,9
256,295,9
948,862,66
214,1131,25
506,1072,5
1266,1471,25
529,172,5
1340,60,5
601,1027,12
1008,1302,5
1,941,75
769,1223,9
90,585,25
654,390,78
525,112,25
312,548,71
416,438,66
1445,658,9
528,256,25
1129,168,25
1152,1160,75
970,272,25
649,147,6
1126,315,5
339,471,9
680,1012,40
381,1305,25
1002,1499,25
1442,338,25
328,1394,9
294,172,5
1185,282,5
514,1080,8
946,749,9
53,1129,75
806,248,25
623,823,5
1201,916,50
185,508,25
1164,941,5
1492,352,25
162,157,5
69,337,25
172,717,5
169,1399,51
1335,1385,9
571,1148,66
562,683,25
180,342,5
166,86,5
796,1079,25
83,1025,25
609,1052,25
778,1036,57
874,511,25
578,686,25
126,544,64
560,1139,25
855,845,9
1361,1057,34
762,412,8
553,382,25
1186,1049,53
86,622,9
1257,241,0
620,468,25
909,717,5
1455,1054,14
415,792,25
83,1388,9
734,477,25
27,177,25
571,89,5
583,1340,25
190,1102,9
1324,36,53
1396,760,9
846,988,5
913,1004,25
289,842,63
961,1072,9
1189,1385,11
795,1157,25
1283,1342,8
1105,126,25
1445,369,66
38,103,75
285,355,8
109,227,25
571,708,66
1413,48,72
568,155,5
713,1377,9
609,203,66
1438,421,25
1395,49,5
580,406,5
1450,992,12
5,937,72
877,500,41
60,1240,25
89,137,5
650,38,5
